pairnum,halfpos,mat_1_half_tag,mat_1_whole_tag,mat_1_half_red,mat_1_total_red,mat_2_half_tag,mat_2_whole_tag,mat_2_half_red,mat_2_total_red
1,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_22_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_43.png"" width=""300"" height=""300"" >",22,43,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_27_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_47.png"" width=""300"" height=""300"" >",27,47
2,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_54.png"" width=""300"" height=""300"" >",26,54,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_25_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_49.png"" width=""300"" height=""300"" >",25,49
3,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_26_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_52.png"" width=""300"" height=""300"" >",26,52,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_31_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_54.png"" width=""300"" height=""300"" >",31,54
4,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_29_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_54.png"" width=""300"" height=""300"" >",29,54,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_23_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_50.png"" width=""300"" height=""300"" >",23,50
5,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_26_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_55.png"" width=""300"" height=""300"" >",26,55,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_51.png"" width=""300"" height=""300"" >",25,51
6,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_32_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_59.png"" width=""300"" height=""300"" >",32,59,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_19_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_42.png"" width=""300"" height=""300"" >",19,42
7,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_33_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_58.png"" width=""300"" height=""300"" >",33,58,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_2_dim_10_r_28_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_2_dim_10_r_49.png"" width=""300"" height=""300"" >",28,49
8,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_1_dim_10_r_30_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_1_dim_10_r_61.png"" width=""300"" height=""300"" >",30,61,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_2_dim_10_r_20_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_2_dim_10_r_47.png"" width=""300"" height=""300"" >",20,47
9,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_1_dim_10_r_20_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_1_dim_10_r_51.png"" width=""300"" height=""300"" >",20,51,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_2_dim_10_r_27_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_2_dim_10_r_53.png"" width=""300"" height=""300"" >",27,53
10,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_1_dim_10_r_28_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_1_dim_10_r_56.png"" width=""300"" height=""300"" >",28,56,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_2_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_2_dim_10_r_54.png"" width=""300"" height=""300"" >",26,54
