half_position,half red,total red,half_complete_name,whole_complete_name,half_file_name,whole_file_name,pair number,matrix number
bottom,22,43,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_22_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_43.png,pair_1_mat_1_dim_10_r_22_bot_half.png,pair_1_mat_1_dim_10_r_43.png,1,1
bottom,27,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_27_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_47.png,pair_1_mat_2_dim_10_r_27_bot_half.png,pair_1_mat_2_dim_10_r_47.png,1,2
top,26,54,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_26_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_54.png,pair_2_mat_1_dim_10_r_26_top_half.png,pair_2_mat_1_dim_10_r_54.png,2,3
top,25,49,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_25_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_49.png,pair_2_mat_2_dim_10_r_25_top_half.png,pair_2_mat_2_dim_10_r_49.png,2,4
bottom,26,52,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_26_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_52.png,pair_3_mat_1_dim_10_r_26_bot_half.png,pair_3_mat_1_dim_10_r_52.png,3,5
bottom,31,54,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_31_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_54.png,pair_3_mat_2_dim_10_r_31_bot_half.png,pair_3_mat_2_dim_10_r_54.png,3,6
bottom,29,54,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_29_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_54.png,pair_4_mat_1_dim_10_r_29_bot_half.png,pair_4_mat_1_dim_10_r_54.png,4,7
bottom,23,50,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_23_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_50.png,pair_4_mat_2_dim_10_r_23_bot_half.png,pair_4_mat_2_dim_10_r_50.png,4,8
bottom,26,55,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_26_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_55.png,pair_5_mat_1_dim_10_r_26_bot_half.png,pair_5_mat_1_dim_10_r_55.png,5,9
bottom,25,51,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_25_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_51.png,pair_5_mat_2_dim_10_r_25_bot_half.png,pair_5_mat_2_dim_10_r_51.png,5,10
top,32,59,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_32_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_59.png,pair_6_mat_1_dim_10_r_32_top_half.png,pair_6_mat_1_dim_10_r_59.png,6,11
top,19,42,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_19_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_42.png,pair_6_mat_2_dim_10_r_19_top_half.png,pair_6_mat_2_dim_10_r_42.png,6,12
bottom,33,58,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_33_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_58.png,pair_7_mat_1_dim_10_r_33_bot_half.png,pair_7_mat_1_dim_10_r_58.png,7,13
