half_position,half red,total red,half_complete_name,whole_complete_name,half_file_name,whole_file_name,pair number,matrix number
bottom,24,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_1_mat_1_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_1_mat_1_dim_10_r_47.png,pair_1_mat_1_dim_10_r_24_bot_half.png,pair_1_mat_1_dim_10_r_47.png,1,1
bottom,20,44,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_1_mat_2_dim_10_r_20_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_1_mat_2_dim_10_r_44.png,pair_1_mat_2_dim_10_r_20_bot_half.png,pair_1_mat_2_dim_10_r_44.png,1,2
top,27,52,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_2_mat_1_dim_10_r_27_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_2_mat_1_dim_10_r_52.png,pair_2_mat_1_dim_10_r_27_top_half.png,pair_2_mat_1_dim_10_r_52.png,2,3
top,24,55,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_2_mat_2_dim_10_r_24_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_2_mat_2_dim_10_r_55.png,pair_2_mat_2_dim_10_r_24_top_half.png,pair_2_mat_2_dim_10_r_55.png,2,4
bottom,23,49,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_3_mat_1_dim_10_r_23_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_3_mat_1_dim_10_r_49.png,pair_3_mat_1_dim_10_r_23_bot_half.png,pair_3_mat_1_dim_10_r_49.png,3,5
bottom,24,50,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_3_mat_2_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_3_mat_2_dim_10_r_50.png,pair_3_mat_2_dim_10_r_24_bot_half.png,pair_3_mat_2_dim_10_r_50.png,3,6
bottom,23,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_4_mat_1_dim_10_r_23_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_4_mat_1_dim_10_r_47.png,pair_4_mat_1_dim_10_r_23_bot_half.png,pair_4_mat_1_dim_10_r_47.png,4,7
bottom,25,51,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_4_mat_2_dim_10_r_25_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_4_mat_2_dim_10_r_51.png,pair_4_mat_2_dim_10_r_25_bot_half.png,pair_4_mat_2_dim_10_r_51.png,4,8
top,20,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_5_mat_1_dim_10_r_20_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_5_mat_1_dim_10_r_47.png,pair_5_mat_1_dim_10_r_20_top_half.png,pair_5_mat_1_dim_10_r_47.png,5,9
top,19,50,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_5_mat_2_dim_10_r_19_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_5_mat_2_dim_10_r_50.png,pair_5_mat_2_dim_10_r_19_top_half.png,pair_5_mat_2_dim_10_r_50.png,5,10
